epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6547,2.38607,3.48151,2.07341,0.00809,0.3264,0.13026,0.08493,2.56912,3.63232,2.07609,0.00026664,0.00026664,0.00026664
2,26.0025,1.8979,2.65108,1.67702,0.91701,0.04255,0.11521,0.07628,2.62995,3.30814,2.18592,0.000533611,0.000533611,0.000533611
3,35.3103,1.77534,2.34197,1.57785,0.95515,0.14,0.1668,0.08497,2.4913,2.98656,2.17275,0.000789583,0.000789583,0.000789583
4,44.6817,1.72256,2.25744,1.56404,0.92395,0.13,0.15907,0.06319,2.53923,2.94122,2.2471,0.00103456,0.00103456,0.00103456
5,58.3197,1.68044,2.13855,1.53449,0.42743,0.26381,0.19434,0.09979,2.23352,3.11992,1.96136,0.00102301,0.00102301,0.00102301
6,68.558,1.60808,2.10583,1.48256,0.84791,0.22142,0.21885,0.13374,2.21038,2.88572,1.99291,0.00100101,0.00100101,0.00100101
7,80.9476,1.59557,2.05382,1.49204,0.84986,0.19676,0.20569,0.13666,2.22202,2.58457,1.97087,0.000979013,0.000979013,0.000979013
8,92.5207,1.56861,1.98243,1.44582,0.59496,0.27565,0.22526,0.11739,2.23629,2.54171,1.93158,0.000957015,0.000957015,0.000957015
9,103.676,1.48372,1.92824,1.41889,0.52857,0.29704,0.23074,0.15901,2.10658,2.60265,1.79593,0.000935018,0.000935018,0.000935018
10,116.187,1.48422,1.90227,1.39944,0.25945,0.29022,0.23245,0.16211,2.11021,2.41407,1.7479,0.00091302,0.00091302,0.00091302
11,128.629,1.4617,1.82876,1.39314,0.22498,0.34274,0.22395,0.15687,2.04346,2.43883,1.67539,0.000891022,0.000891022,0.000891022
12,141.402,1.44795,1.83744,1.3922,0.25942,0.35126,0.24828,0.15804,2.13286,2.3237,1.7595,0.000869024,0.000869024,0.000869024
13,154.344,1.40187,1.78248,1.35994,0.26014,0.32003,0.25493,0.15014,2.1149,2.44109,1.80404,0.000847026,0.000847026,0.000847026
14,167.129,1.37186,1.7479,1.35596,0.48889,0.3244,0.24972,0.14377,2.1208,2.43691,1.83441,0.000825029,0.000825029,0.000825029
15,179.827,1.3533,1.71642,1.32894,0.30795,0.34439,0.26192,0.16846,2.03779,2.29557,1.71965,0.000803031,0.000803031,0.000803031
16,190.78,1.33632,1.74309,1.32773,0.32565,0.27839,0.26993,0.16476,2.15107,2.34188,1.78864,0.000781033,0.000781033,0.000781033
17,203.161,1.30376,1.65755,1.30121,0.35298,0.31669,0.28607,0.17721,1.9583,2.29252,1.6619,0.000759035,0.000759035,0.000759035
18,212.894,1.30566,1.67947,1.30888,0.48158,0.2844,0.2648,0.16385,2.17693,2.39559,1.69758,0.000737037,0.000737037,0.000737037
19,222.72,1.29502,1.61301,1.28439,0.30125,0.34067,0.28293,0.17879,1.89232,2.56525,1.58417,0.00071504,0.00071504,0.00071504
20,232.115,1.31021,1.66306,1.30082,0.3352,0.34351,0.29383,0.18695,1.87305,2.24352,1.60918,0.000693042,0.000693042,0.000693042
21,240.964,1.27158,1.58617,1.26975,0.3222,0.27833,0.27701,0.16715,2.14153,2.32759,1.81379,0.000671044,0.000671044,0.000671044
22,249.893,1.25985,1.58811,1.27147,0.27932,0.27774,0.27398,0.17552,2.16878,2.26706,1.81975,0.000649046,0.000649046,0.000649046
23,259.666,1.24784,1.57838,1.28033,0.36282,0.34152,0.33322,0.20226,1.96913,2.13767,1.69625,0.000627048,0.000627048,0.000627048
24,269.602,1.23698,1.58381,1.25821,0.32365,0.42556,0.3028,0.18884,1.86162,2.10688,1.58403,0.000605051,0.000605051,0.000605051
25,278.873,1.22369,1.51117,1.25201,0.32129,0.34484,0.30072,0.18644,1.97871,2.12007,1.61721,0.000583053,0.000583053,0.000583053
26,287.927,1.23848,1.55156,1.2564,0.25792,0.28893,0.26564,0.15677,2.04517,2.24858,1.68336,0.000561055,0.000561055,0.000561055
27,297.34,1.18501,1.46017,1.23063,0.34899,0.3532,0.28849,0.16586,2.08102,2.19975,1.77126,0.000539057,0.000539057,0.000539057
28,306.875,1.21148,1.47225,1.23933,0.27886,0.34717,0.25287,0.14856,2.08922,2.28667,1.71354,0.000517059,0.000517059,0.000517059
29,316.204,1.21018,1.48128,1.22283,0.3152,0.34833,0.2822,0.17794,1.94158,2.2527,1.67386,0.000495062,0.000495062,0.000495062
30,325.643,1.20784,1.49925,1.24573,0.32699,0.31095,0.25886,0.16215,1.92275,2.21683,1.62819,0.000473064,0.000473064,0.000473064
31,334.69,1.19203,1.43817,1.22135,0.36785,0.38632,0.29232,0.19112,1.88623,2.12476,1.59695,0.000451066,0.000451066,0.000451066
32,344.11,1.15754,1.40403,1.20334,0.38328,0.37543,0.305,0.20495,1.86817,2.08266,1.52736,0.000429068,0.000429068,0.000429068
33,353.359,1.13924,1.39543,1.19338,0.37579,0.3863,0.30723,0.19974,1.94558,2.09573,1.57178,0.00040707,0.00040707,0.00040707
34,362.773,1.151,1.39058,1.20462,0.35393,0.38103,0.32639,0.21353,1.87041,2.10131,1.55323,0.000385073,0.000385073,0.000385073
35,371.799,1.15771,1.39749,1.21048,0.36822,0.38998,0.3166,0.20488,1.91469,2.02587,1.56529,0.000363075,0.000363075,0.000363075
36,381.984,1.1318,1.36321,1.19906,0.38556,0.26021,0.27377,0.17698,2.04051,2.22068,1.65486,0.000341077,0.000341077,0.000341077
37,391.587,1.10965,1.34215,1.1897,0.41818,0.34632,0.30456,0.19176,1.89879,2.08521,1.56213,0.000319079,0.000319079,0.000319079
