epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1342,2.29667,4.77911,3.62899,2.00023,0.03304,0.22222,0.18565,0.13442,0.03339,0.27778,0.18228,0.07105,2.51974,4.06228,3.85243,2.0002,0.00027775,0.00027775,0.00027775
2,39.8427,1.95495,3.15492,3.21761,1.65899,0.9628,0.04912,0.18586,0.11324,0.92144,0.03454,0.06476,0.02105,2.59378,9.26114,3.69533,2.16817,0.000561001,0.000561001,0.000561001
3,54.7143,1.85576,2.99887,2.62202,1.60032,0.93102,0.16892,0.19525,0.10584,0.91378,0.1467,0.15599,0.05957,2.38208,5.18714,3.22763,1.9719,0.000838532,0.000838532,0.000838532
4,72.0134,1.75262,2.89334,2.2402,1.58077,0.8031,0.21244,0.23297,0.11321,0.8984,0.14444,0.21392,0.07061,2.51658,5.0437,3.09779,2.07602,0.001078,0.001078,0.001078
5,92.2357,1.67044,2.88983,2.0946,1.52976,0.60572,0.2823,0.23961,0.10081,0.55056,0.22055,0.18188,0.06051,2.50076,4.63164,2.67686,2.11798,0.001067,0.001067,0.001067
6,109.545,1.62031,2.73812,2.01137,1.49328,0.49746,0.30388,0.28047,0.1546,0.49794,0.31551,0.29626,0.09987,2.14199,3.338,3.4546,1.78247,0.00105601,0.00105601,0.00105601
7,128.738,1.64333,2.738,1.98256,1.48976,0.23699,0.36784,0.32019,0.17841,0.20517,0.32351,0.28256,0.11299,2.08348,3.41792,2.3881,1.75544,0.00104501,0.00104501,0.00104501
8,151.055,1.55923,2.78582,1.8894,1.45042,0.52271,0.36886,0.32357,0.20343,0.44496,0.36667,0.29973,0.13332,2.18151,3.2658,2.60279,1.61692,0.00103401,0.00103401,0.00103401
9,163.611,1.4903,2.62023,1.82607,1.42175,0.87973,0.27778,0.30737,0.19364,0.28639,0.33703,0.29663,0.14429,2.18157,3.35585,2.36964,1.58827,0.00102301,0.00102301,0.00102301
10,179.116,1.52097,2.60706,1.7888,1.39822,0.33049,0.43687,0.39015,0.22046,0.37597,0.48016,0.42258,0.17062,1.97042,3.00229,2.02199,1.64318,0.00101201,0.00101201,0.00101201
