epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.604,1.54967,3.43515,1.91394,1.53831,0.23783,0.33234,0.21003,0.08996,0.10968,0.15987,0.08488,0.02734,2.39809,6.3308,3.51762,2.34409,0.000367762,0.000367762,0.000367762
2,281.284,1.49501,3.06579,1.69711,1.47772,0.2097,0.42243,0.29658,0.1415,0.18663,0.39377,0.27604,0.09641,2.42426,2.61536,3.30521,1.94649,0.000730788,0.000730788,0.000730788
3,412.174,1.42739,2.97514,1.62735,1.4211,0.37605,0.39416,0.33712,0.18448,0.34737,0.35921,0.25923,0.08694,2.03775,2.69761,2.8817,1.53834,0.00108648,0.00108648,0.00108648
4,548.132,1.36414,2.86434,1.56898,1.37385,0.39812,0.44329,0.42372,0.21415,0.57474,0.31985,0.39338,0.15429,2.0431,2.70105,2.22754,1.50686,0.001078,0.001078,0.001078
5,680.763,1.28778,2.72953,1.49145,1.3326,0.45709,0.49029,0.47007,0.29394,0.45989,0.4853,0.47466,0.23488,1.69086,2.33834,2.11238,1.3028,0.001067,0.001067,0.001067
6,813.901,1.20901,2.60554,1.4112,1.28097,0.38601,0.65546,0.4597,0.26844,0.35946,0.60209,0.41995,0.18814,1.63141,2.3621,2.13628,1.29747,0.00105601,0.00105601,0.00105601
7,942.345,1.19573,2.54612,1.37983,1.26689,0.47635,0.56458,0.50112,0.31073,0.45841,0.54116,0.49403,0.25717,1.59566,2.29758,1.88742,1.26373,0.00104501,0.00104501,0.00104501
8,1073.72,1.16105,2.46409,1.35735,1.25187,0.49029,0.59655,0.54348,0.35188,0.56993,0.5631,0.55484,0.29518,1.45848,1.99223,1.76732,1.08791,0.00103401,0.00103401,0.00103401
9,1203.46,1.12758,2.37216,1.27677,1.21889,0.63851,0.55333,0.60977,0.3834,0.63364,0.55193,0.59992,0.34255,1.48412,2.11669,1.70777,1.11529,0.00102301,0.00102301,0.00102301
10,1336.46,1.08094,2.30526,1.22525,1.19722,0.6035,0.60204,0.58263,0.38339,0.60293,0.60766,0.58236,0.31671,1.43654,2.07786,1.58983,1.05101,0.00101201,0.00101201,0.00101201
11,1465.64,1.07021,2.26888,1.19882,1.19209,0.68365,0.61561,0.64572,0.43508,0.66299,0.633,0.64158,0.36443,1.44083,1.77546,1.50183,1.05853,0.00100101,0.00100101,0.00100101
12,1596.69,1.05464,2.20936,1.16643,1.18176,0.57384,0.71165,0.67449,0.44046,0.7098,0.60469,0.66385,0.39195,1.40516,1.85593,1.36558,1.04557,0.000990012,0.000990012,0.000990012
13,1730.81,1.04799,2.18076,1.15388,1.17513,0.61082,0.61787,0.6535,0.42236,0.6273,0.64558,0.66233,0.40895,1.35248,1.69069,1.43879,0.99837,0.000979013,0.000979013,0.000979013
14,1859.98,1.01008,2.10837,1.12616,1.16061,0.56209,0.65517,0.65421,0.46595,0.56741,0.65446,0.6598,0.38025,1.2869,1.68428,1.40184,0.99258,0.000968014,0.000968014,0.000968014
15,1990.41,1.00079,2.07218,1.07552,1.13948,0.72943,0.68429,0.71107,0.49547,0.73736,0.69278,0.70628,0.45952,1.30259,1.66499,1.29588,0.95696,0.000957015,0.000957015,0.000957015
16,2128.86,0.98593,2.03114,1.05099,1.14295,0.64977,0.71911,0.73062,0.50981,0.64007,0.71747,0.7228,0.43926,1.2452,1.73428,1.30108,0.94156,0.000946016,0.000946016,0.000946016
17,2258.16,0.96716,1.99544,1.03239,1.13301,0.68768,0.70837,0.72795,0.50777,0.68375,0.71107,0.72123,0.46179,1.28769,1.60137,1.32392,0.95824,0.000935018,0.000935018,0.000935018
18,2390.67,0.96248,1.94361,1.00853,1.12471,0.69713,0.72597,0.75294,0.4965,0.68285,0.71853,0.73636,0.49227,1.31273,1.61305,1.27311,0.96972,0.000924019,0.000924019,0.000924019
19,2523.33,0.94351,1.91992,0.9922,1.11625,0.74261,0.70176,0.75298,0.51764,0.74015,0.70458,0.75021,0.46933,1.2141,1.56974,1.28098,0.92573,0.00091302,0.00091302,0.00091302
20,2651.85,0.9281,1.9168,0.95221,1.10392,0.69773,0.7946,0.76149,0.54073,0.68877,0.78855,0.74846,0.46957,1.15902,1.51004,1.13223,0.93227,0.000902021,0.000902021,0.000902021
21,2784.88,0.93261,1.8749,0.94444,1.10962,0.86435,0.65615,0.78916,0.5407,0.84397,0.64296,0.75866,0.47237,1.22891,1.61482,1.20581,0.95652,0.000891022,0.000891022,0.000891022
22,2918.15,0.91229,1.84552,0.92196,1.09465,0.71516,0.72032,0.77486,0.50309,0.74495,0.72497,0.77628,0.50755,1.30842,1.50343,1.18679,0.92399,0.000880023,0.000880023,0.000880023
23,3046.4,0.90478,1.80906,0.90444,1.09321,0.72971,0.66459,0.7619,0.53079,0.7395,0.67198,0.76487,0.50324,1.20792,1.50624,1.30045,0.93523,0.000869024,0.000869024,0.000869024
24,3176.47,0.89564,1.78616,0.89429,1.09026,0.70153,0.74835,0.77802,0.53806,0.69222,0.74995,0.76525,0.50047,1.2497,1.58966,1.19738,0.95079,0.000858025,0.000858025,0.000858025
25,3310.83,0.87411,1.74056,0.8682,1.07495,0.71739,0.77173,0.78776,0.5493,0.71128,0.76933,0.77684,0.48077,1.14919,1.50686,1.14045,0.90271,0.000847026,0.000847026,0.000847026
26,3438.89,0.86674,1.69873,0.85233,1.0673,0.72188,0.73825,0.75858,0.52745,0.7187,0.73523,0.75808,0.50425,1.24039,1.56575,1.07653,0.92533,0.000836027,0.000836027,0.000836027
27,3568.4,0.84069,1.66957,0.81567,1.0613,0.75885,0.75366,0.78586,0.56099,0.754,0.76662,0.79561,0.52105,1.19648,1.44507,1.15601,0.94296,0.000825029,0.000825029,0.000825029
28,3697.81,0.84905,1.68463,0.82389,1.06558,0.8178,0.71755,0.79427,0.56513,0.83054,0.72215,0.798,0.52275,1.20422,1.52085,1.14344,0.91713,0.00081403,0.00081403,0.00081403
29,3836.61,0.83065,1.63348,0.79994,1.05166,0.76133,0.77298,0.82735,0.59009,0.74152,0.7883,0.83053,0.54539,1.15301,1.31734,1.06518,0.89387,0.000803031,0.000803031,0.000803031
30,3976.22,0.83144,1.61305,0.78418,1.05434,0.78274,0.77265,0.80284,0.5954,0.77891,0.77994,0.79583,0.5379,1.09182,1.39663,1.03548,0.88611,0.000792032,0.000792032,0.000792032
31,4106.36,0.8223,1.60226,0.77028,1.04643,0.8061,0.80017,0.83944,0.58627,0.79022,0.78653,0.80372,0.5358,1.16987,1.4367,1.07771,0.91144,0.000781033,0.000781033,0.000781033
32,4235.32,0.82479,1.58395,0.76944,1.05126,0.84551,0.77816,0.83814,0.60412,0.81904,0.76963,0.82509,0.5753,1.12066,1.34163,1.04165,0.87197,0.000770034,0.000770034,0.000770034
33,4366.16,0.81059,1.59836,0.76383,1.04244,0.81311,0.80464,0.8544,0.60916,0.79469,0.77705,0.83047,0.53313,1.12159,1.53376,0.99473,0.9306,0.000759035,0.000759035,0.000759035
34,4494.77,0.80897,1.56208,0.73443,1.03858,0.79945,0.76158,0.83121,0.59777,0.77073,0.79346,0.82849,0.5509,1.10971,1.30033,1.08899,0.87679,0.000748036,0.000748036,0.000748036
35,4624.37,0.8184,1.54427,0.73711,1.03856,0.75422,0.81869,0.80832,0.58991,0.74252,0.80758,0.78243,0.5057,1.10904,1.46161,1.0462,0.89949,0.000737037,0.000737037,0.000737037
36,4756.37,0.79191,1.50587,0.7138,1.03922,0.80953,0.80637,0.85048,0.6186,0.80244,0.81035,0.84834,0.56734,1.09373,1.30976,0.95151,0.88392,0.000726038,0.000726038,0.000726038
37,4888.97,0.78564,1.49252,0.71803,1.02359,0.81181,0.7947,0.84252,0.60344,0.80243,0.78359,0.81856,0.53963,1.08245,1.38248,1.048,0.89831,0.00071504,0.00071504,0.00071504
38,5020.99,0.78235,1.49013,0.7056,1.0334,0.86239,0.8005,0.84811,0.63878,0.85237,0.79241,0.83216,0.54695,1.03731,1.33516,1.0534,0.88591,0.000704041,0.000704041,0.000704041
39,5152.79,0.78442,1.46256,0.69066,1.0275,0.82655,0.73338,0.8286,0.60944,0.81996,0.7343,0.81604,0.55987,1.08661,1.32625,1.04263,0.89841,0.000693042,0.000693042,0.000693042
40,5281.51,0.77873,1.46256,0.68445,1.02799,0.8052,0.81956,0.85639,0.6377,0.80004,0.81112,0.84574,0.57312,1.06684,1.24871,0.97251,0.8773,0.000682043,0.000682043,0.000682043
41,5412.34,0.77249,1.43982,0.66505,1.01695,0.81745,0.79167,0.86769,0.61613,0.79793,0.77212,0.83486,0.57886,1.11218,1.23441,0.97095,0.91935,0.000671044,0.000671044,0.000671044
42,5541.32,0.75955,1.43748,0.6614,1.02048,0.80316,0.80244,0.85674,0.61497,0.79242,0.79124,0.82701,0.56358,1.12543,1.3828,0.98332,0.89559,0.000660045,0.000660045,0.000660045
43,5670.13,0.75723,1.41549,0.66424,1.00855,0.83518,0.75913,0.83642,0.62202,0.77433,0.77782,0.82571,0.53838,1.06816,1.32185,0.98147,0.88464,0.000649046,0.000649046,0.000649046
44,5797.96,0.76196,1.4016,0.66176,1.01057,0.85462,0.78683,0.84605,0.62821,0.85026,0.77973,0.83038,0.57017,1.08886,1.2828,0.99336,0.90092,0.000638047,0.000638047,0.000638047
45,5929.44,0.74671,1.37853,0.65339,1.00988,0.82973,0.81716,0.85763,0.63977,0.82292,0.8116,0.84366,0.56123,1.04897,1.21611,0.97401,0.88394,0.000627048,0.000627048,0.000627048
46,6057.81,0.74734,1.38616,0.64942,1.01471,0.82321,0.80612,0.84634,0.63943,0.83027,0.7786,0.83925,0.56194,1.02979,1.23682,1.03706,0.86825,0.000616049,0.000616049,0.000616049
47,6186.93,0.73026,1.35961,0.62874,0.99981,0.77537,0.83406,0.85326,0.6306,0.76395,0.82054,0.82964,0.55711,1.05996,1.29581,0.99216,0.89576,0.000605051,0.000605051,0.000605051
48,6316,0.72757,1.345,0.61406,1.00174,0.8301,0.80002,0.84686,0.6363,0.82504,0.76808,0.82398,0.56023,1.02002,1.3428,0.89485,0.87354,0.000594052,0.000594052,0.000594052
49,6444.64,0.73541,1.32466,0.62023,1.00056,0.86658,0.79166,0.85322,0.6556,0.8337,0.76567,0.82155,0.55694,1.03189,1.25948,0.99735,0.88452,0.000583053,0.000583053,0.000583053
50,6572.89,0.71911,1.32111,0.60299,0.99228,0.86643,0.78796,0.85254,0.63579,0.85856,0.77447,0.83371,0.56984,1.02157,1.31926,0.97165,0.86325,0.000572054,0.000572054,0.000572054
51,6702.98,0.71264,1.31847,0.60286,0.98638,0.88713,0.7698,0.84535,0.6389,0.87458,0.75918,0.82577,0.56127,1.02724,1.36844,0.97955,0.87143,0.000561055,0.000561055,0.000561055
52,6833.39,0.70954,1.30231,0.59379,0.99674,0.83409,0.83755,0.85787,0.64661,0.82839,0.82241,0.83664,0.55678,1.01126,1.29599,0.9178,0.84764,0.000550056,0.000550056,0.000550056
53,6961.96,0.70332,1.25205,0.57864,0.98365,0.85294,0.83231,0.85974,0.64431,0.83752,0.81892,0.83795,0.56016,1.02992,1.24159,0.89488,0.88101,0.000539057,0.000539057,0.000539057
54,7092.82,0.70682,1.26778,0.5739,0.99445,0.80732,0.83249,0.86386,0.64825,0.78737,0.81592,0.83745,0.58814,1.01222,1.26089,0.8697,0.87946,0.000528058,0.000528058,0.000528058
55,7226.58,0.69424,1.25108,0.5725,0.98217,0.85315,0.83979,0.86528,0.64535,0.8448,0.83495,0.84734,0.60204,1.05664,1.26436,0.92097,0.86885,0.000517059,0.000517059,0.000517059
56,7365.24,0.68317,1.22642,0.55471,0.98369,0.832,0.86624,0.87027,0.64475,0.81912,0.85686,0.84916,0.59286,1.07129,1.30183,0.90523,0.88269,0.00050606,0.00050606,0.00050606
57,7493.46,0.70062,1.21899,0.56053,0.97904,0.82177,0.83519,0.85495,0.64432,0.8056,0.81785,0.83995,0.57674,1.05546,1.29923,0.92117,0.865,0.000495062,0.000495062,0.000495062
58,7627.41,0.67429,1.20489,0.55147,0.97841,0.82288,0.8322,0.84812,0.63731,0.82386,0.82132,0.83378,0.57942,1.01056,1.32152,0.87771,0.85529,0.000484063,0.000484063,0.000484063
59,7757.97,0.66511,1.20366,0.54603,0.9762,0.83607,0.82849,0.87396,0.67253,0.82629,0.8093,0.85249,0.6027,0.98492,1.30729,0.85234,0.86693,0.000473064,0.000473064,0.000473064
60,7888.56,0.67496,1.18202,0.54684,0.97589,0.85848,0.8112,0.84917,0.64752,0.85635,0.79581,0.84046,0.57245,1.00741,1.25003,0.89638,0.88124,0.000462065,0.000462065,0.000462065
